id,symbol,datetime,open,high,low,close,volume
1,SHFE.au,2024-01-01 09:00:00,100.49771496471355,100.57639678604686,100.39677373273788,100.9954299294271,527
2,SHFE.au,2024-01-01 09:01:00,101.35017448689612,101.48645902623186,100.9797632225554,102.2026340090787,981
3,SHFE.au,2024-01-01 09:02:00,102.05183507886372,102.46138369514601,101.59910371523043,102.75349567083131,756
4,SHFE.au,2024-01-01 09:03:00,102.01535039646632,102.2424668285609,101.62819879767802,101.97886571406892,193
5,SHFE.au,2024-01-01 09:04:00,102.9786109579306,103.22461811371734,102.47754204830373,103.94187151939488,933
6,SHFE.au,2024-01-01 09:05:00,102.80563541559711,103.20483056414622,102.40089587355183,102.63265987326362,104
7,SHFE.au,2024-01-01 09:06:00,102.91728362139594,103.08019666875353,102.51440942999335,103.02893182719477,144
8,SHFE.au,2024-01-01 09:07:00,103.69633091191622,103.94240748369172,103.37349178930928,104.4753782024365,468
9,SHFE.au,2024-01-01 09:08:00,104.15247404778732,104.15527569089262,103.65397286912133,104.60861718365842,163
10,SHFE.au,2024-01-01 09:09:00,103.84389602704223,104.04184812154179,103.66306616605202,103.53531800629715,352
11,SHFE.au,2024-01-01 09:10:00,102.88483084229765,103.15387291006428,102.56840038789261,101.92576565755306,358
12,SHFE.au,2024-01-01 09:11:00,102.3438123505539,102.5899925752799,102.33973277737752,101.80279385881016,557
13,SHFE.au,2024-01-01 09:12:00,102.56944340543,102.95160921649486,102.19947183206575,102.79507446030608,359
14,SHFE.au,2024-01-01 09:13:00,103.54589638562041,103.8283217678873,103.251947667528,104.52234936581083,793
15,SHFE.au,2024-01-01 09:14:00,102.77945080290962,103.05134151549203,102.68397524844461,102.01300522019883,45
16,SHFE.au,2024-01-01 09:15:00,102.29213117906109,102.52511553831157,102.06705778928604,101.80481155521255,14
17,SHFE.au,2024-01-01 09:16:00,102.25184674318272,102.61922335820753,101.75531279394895,102.21156230730436,499
18,SHFE.au,2024-01-01 09:17:00,102.21738893295856,102.28445028237438,101.87564559453314,102.18293112273439,511
19,SHFE.au,2024-01-01 09:18:00,102.48295952975182,102.62231240352861,102.11615236500236,102.74853012654509,405
20,SHFE.au,2024-01-01 09:19:00,101.4836767085111,101.789520029511,101.47801373673136,100.48439388727037,439
21,SHFE.au,2024-01-01 09:20:00,100.96069861065688,101.27413480119273,100.58237706524133,100.43772051280266,999
22,SHFE.au,2024-01-01 09:21:00,100.85991983524238,101.29110239979055,100.74734470731447,100.75914105982788,317
23,SHFE.au,2024-01-01 09:22:00,100.45805587780275,100.54686851286318,100.15328582426486,100.05619192036312,967
24,SHFE.au,2024-01-01 09:23:00,100.95580301411725,101.20688376258164,100.58863110928236,101.45355015043175,407
25,SHFE.au,2024-01-01 09:24:00,100.09290733911544,100.46673496983837,99.67713034587015,99.23001166411363,236
26,SHFE.au,2024-01-01 09:25:00,100.62736587006212,101.07137754674966,100.51394617806471,101.1618244010088,486
27,SHFE.au,2024-01-01 09:26:00,100.24281840727362,100.45803569589397,99.83712801528029,99.85827094448511,616
28,SHFE.au,2024-01-01 09:27:00,99.58001126141474,99.59978093925996,99.49285877012419,98.91720411555586,976
29,SHFE.au,2024-01-01 09:28:00,99.34554950282048,99.42075023623656,98.9064395505733,99.11108774422621,743
30,SHFE.au,2024-01-01 09:29:00,100.27947127593958,100.31278625157131,99.93502210977094,101.2133930490587,871
31,SHFE.au,2024-01-01 09:30:00,99.84961912425688,99.85606526045386,99.38985165787079,99.41976697257417,666
32,SHFE.au,2024-01-01 09:31:00,100.76079715382187,100.80689149482598,100.40168749629557,101.67197518338686,293
33,SHFE.au,2024-01-01 09:32:00,101.39127160376435,101.81241908206025,101.30082048384014,102.02174605370683,41
34,SHFE.au,2024-01-01 09:33:00,101.24182806806607,101.70161983065543,100.8547428612802,101.09238453236779,73
35,SHFE.au,2024-01-01 09:34:00,101.95748589454041,102.02145769868304,101.91081985451636,102.67314372101475,747
36,SHFE.au,2024-01-01 09:35:00,101.89197109054439,102.00756879929506,101.67973674185102,101.82645628654836,194
37,SHFE.au,2024-01-01 09:36:00,102.19298581292354,102.67024547269136,102.01333339564273,102.49400053530269,468
38,SHFE.au,2024-01-01 09:37:00,101.80079449503702,102.05365962959674,101.60919589626666,101.40860317715051,602
39,SHFE.au,2024-01-01 09:38:00,100.88955710791778,101.0161901719239,100.44836552957163,99.97831972079854,928
40,SHFE.au,2024-01-01 09:39:00,101.70060317544768,101.71510231543925,101.45525856116429,102.51164924297758,790
41,SHFE.au,2024-01-01 09:40:00,102.12018088743034,102.3142248371088,102.0946691247983,102.53975859941299,731
42,SHFE.au,2024-01-01 09:41:00,102.53278945362008,102.7499484851822,102.37172018166837,102.94539801980983,706
43,SHFE.au,2024-01-01 09:42:00,102.52223842538127,102.61856272716122,102.12968912750365,102.51168739714247,970
